...1,univ.name,campus,campus02,province,city,city_name,district,citycode,adcode,lng,lat,est.time,area_ha,i,SHI_D_ID,dem_mean,map_mean,mat_mean,wet_area,wet_num,gdp_mean,pd_mean,ul_mean
1,浙江农林大学,ZAFU,zafu,浙江省,杭州市,杭州市,临安区,571,330112,119.727158,30.257231,2003,226.67,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.5979370117187,0.06817109949824099
2,江西农业大学,JXNYU,jxnyu,江西省,南昌市,南昌市,青山湖区,791,360111,115.835442,28.759221,1905,1066.67,48,2183,39.8565285379202,1889.22247648903,18.5389550679206,982.1178,0,2090.09162983144,779.5726440429687,0.0485165654917237
3,武汉大学,WHU,whu,湖北省,武汉市,武汉市,武昌区,27,420106,114.36434,30.53727,1893,346.33,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116
4,江南大学,JNDX,jndx,江苏省,无锡市,无锡市,滨湖区,510,320211,120.272597,31.482903,1958,216.67,146,993,19.2458432304038,1191.61326707683,16.4109717621076,941.1786,3,9409.05753348856,1483.851513671875,0.2752856113241462
5,浙江大学,ZJU,zju,浙江省,杭州市,杭州市,西湖区,571,330106,120.085686,30.302415,2002,390.4,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.5979370117187,0.06817109949824099
6,华中农业大学,HZAU,hzau,湖北省,武汉市,武汉市,洪山区,27,420111,114.333112,30.487087,1898,495,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116
7,贵州大学,GuiZU,guizu,贵州省,贵阳市,贵阳市,花溪区,851,520111,106.672804,26.44434,2004,309.17,269,2941,1191.7699635004,1210.48323193916,14.8991539923955,83.0826,4,1571.27873237857,540.0748840332031,0.03290724048942444
8,四川大学,SCU,scu,四川省,成都市,成都市,武侯区,28,510107,104.084176,30.631245,1896,470,135,1425,829.990590248075,1232.12792694064,15.3816407914764,133.1892,1,4073.8870316201,1172.703759765625,0.09115392316370206
9,西南大学,SWU,swu,重庆市,重庆市,重庆市,北碚区,23,500109,106.4247,29.820475,1906,556.47,293,1649,546.767114236496,1310.7526596682,17.2196145809733,1092.1662,22,1734.96189151623,593.0087158203125,0.02842595428123667
10,华侨大学,HQU,hqu,福建省,厦门市,厦门市,集美区,592,350211,118.087873,24.60393,2006,132,52,3658,155.584810126582,1597.22199501247,20.813940149626,46.305,0,12426.2479487042,2424.100146484375,0.25264915804246185
