"Group","Component","R_squared","Coefficient","p_value","Variable","Significance"
"invasive","total",0.0895888551438073,0.783791388843074,0.001001001001001,"Int","**"
"invasive","total",0.0895888551438073,0.00868734754178158,0.443443443443443,"geo1",""
"invasive","total",0.0895888551438073,-0.0035314006344624,0.54954954954955,"est.time1",""
"invasive","total",0.0895888551438073,-0.0150981336271923,0.0980980980980981,"area_ha1",""
"invasive","total",0.0895888551438073,0.0105404896153311,0.325325325325325,"dem_mean1",""
"invasive","total",0.0895888551438073,0.00865078387091918,0.285285285285285,"map_mean1",""
"invasive","total",0.0895888551438073,0.0382673358888727,0.001001001001001,"mat_mean1","**"
"invasive","total",0.0895888551438073,0.0638585088587087,0.136136136136136,"gdp_mean1",""
"invasive","total",0.0895888551438073,-0.0441564819904424,0.211211211211211,"pd_mean1",""
"invasive","total",0.0895888551438073,-0.0132129951229952,0.597597597597598,"ul_mean1",""
"invasive","turnover",0.135427649419277,0.50674315614902,0.001001001001001,"Int","**"
"invasive","turnover",0.135427649419277,0.0172875693704098,0.405405405405405,"geo1",""
"invasive","turnover",0.135427649419277,-0.00880918027729802,0.445445445445445,"est.time1",""
"invasive","turnover",0.135427649419277,-0.0361638557512642,0.028028028028028,"area_ha1","*"
"invasive","turnover",0.135427649419277,-0.0109641093201877,0.554554554554555,"dem_mean1",""
"invasive","turnover",0.135427649419277,0.0345850793042639,0.024024024024024,"map_mean1","*"
"invasive","turnover",0.135427649419277,0.0747113907297509,0.002002002002002,"mat_mean1","**"
"invasive","turnover",0.135427649419277,0.0834429126833114,0.32032032032032,"gdp_mean1",""
"invasive","turnover",0.135427649419277,-0.0657967120124769,0.362362362362362,"pd_mean1",""
"invasive","turnover",0.135427649419277,0.00464812990214758,0.914914914914915,"ul_mean1",""
"invasive","nestedness",0.0531837673944974,0.277048232694047,0.001001001001001,"Int","**"
"invasive","nestedness",0.0531837673944974,-0.00860022182862805,0.598598598598599,"geo1",""
"invasive","nestedness",0.0531837673944974,0.00527777964283576,0.591591591591592,"est.time1",""
"invasive","nestedness",0.0531837673944974,0.0210657221240718,0.119119119119119,"area_ha1",""
"invasive","nestedness",0.0531837673944974,0.0215045989355187,0.135135135135135,"dem_mean1",""
"invasive","nestedness",0.0531837673944974,-0.0259342954333444,0.023023023023023,"map_mean1","*"
"invasive","nestedness",0.0531837673944974,-0.0364440548408781,0.022022022022022,"mat_mean1","*"
"invasive","nestedness",0.0531837673944974,-0.0195844038246045,0.775775775775776,"gdp_mean1",""
"invasive","nestedness",0.0531837673944974,0.0216402300220334,0.707707707707708,"pd_mean1",""
"invasive","nestedness",0.0531837673944974,-0.0178611250251399,0.638638638638639,"ul_mean1",""
"noninvasive","total",0.367490663180927,0.816520036750697,0.001001001001001,"Int","**"
"noninvasive","total",0.367490663180927,0.0168795859859333,0.012012012012012,"geo1","*"
"noninvasive","total",0.367490663180927,-0.00170919810651441,0.627627627627628,"est.time1",""
"noninvasive","total",0.367490663180927,-0.00172780101803851,0.753753753753754,"area_ha1",""
"noninvasive","total",0.367490663180927,0.00738264650055416,0.248248248248248,"dem_mean1",""
"noninvasive","total",0.367490663180927,-0.00442632465665037,0.379379379379379,"map_mean1",""
"noninvasive","total",0.367490663180927,0.0692790572320529,0.001001001001001,"mat_mean1","**"
"noninvasive","total",0.367490663180927,0.00630828853273159,0.818818818818819,"gdp_mean1",""
"noninvasive","total",0.367490663180927,-0.012606718234726,0.565565565565566,"pd_mean1",""
"noninvasive","total",0.367490663180927,0.00703163247697806,0.656656656656657,"ul_mean1",""
"noninvasive","turnover",0.321798900733271,0.616323836002499,0.001001001001001,"Int","**"
"noninvasive","turnover",0.321798900733271,0.0586676581569483,0.001001001001001,"geo1","**"
"noninvasive","turnover",0.321798900733271,-0.00815346525513085,0.317317317317317,"est.time1",""
"noninvasive","turnover",0.321798900733271,-0.0180913028204163,0.139139139139139,"area_ha1",""
