"Group","Component","R2_full","pureA_pos","pureB_pos","unexpl_pos","shared_pos"
"invasive","total",0.0895888551438073,0.0772175734925049,0.0115055061629614,0.910411144856193,0.000865775488340992
"invasive","turnover",0.135427649419277,0.110983967211001,0.0212365028091733,0.864572350580723,0.00320717939910287
"invasive","nestedness",0.0531837673944974,0.0421361747970836,0.00924016107051451,0.946816232605503,0.00180743152689922
"noninvasive","total",0.367490663180927,0.358438242023926,0.00100849460641184,0.632509336819073,0.00804392655058916
"noninvasive","turnover",0.321798900733271,0.307667981569565,0.00866837516924202,0.678201099266729,0.00546254399446477
"noninvasive","nestedness",0.10121795745659,0.0910507535351719,0.0092082192881151,0.89878204254341,0.000958984633302795
"native","total",0.465499895517782,0.458105749158397,0.00171434840943541,0.534500104482218,0.00567979794994999
"native","turnover",0.500537431844571,0.469339167812796,0.0249278329211376,0.499462568155429,0.00627043111063719
"native","nestedness",0.179245723448545,0.129491317252348,0.0483376145645364,0.820754276551455,0.0014167916316602
"all","total",0.44101271231463,0.434471971915094,0.00129615160330421,0.55898728768537,0.00524458879623235
"all","turnover",0.467902014310128,0.43816754418944,0.0240107666092864,0.532097985689872,0.00572370351140228
"all","nestedness",0.155934194218738,0.119285292009572,0.0353274247285292,0.844065805781262,0.00132147748063627
