"...1","univ.name","campus","campus02","province","city","city_name","district","citycode","adcode","lng","lat","est.time","area_ha","i","SHI_D_ID","dem_mean","map_mean","mat_mean","wet_area","wet_num","gdp_mean","pd_mean","ul_mean","native_count","invasive_count","non_invasive_count","total_count"
1,"浙江农林大学","ZAFU","zafu","浙江省","杭州市","杭州市","临安区",571,330112,119.727158,30.257231,2003,226.67,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.597937011719,0.068171099498241,1105,60,259,1424
2,"江西农业大学","JXNYU","jxnyu","江西省","南昌市","南昌市","青山湖区",791,360111,115.835442,28.759221,1905,1066.67,48,2183,39.8565285379202,1889.22247648903,18.5389550679206,982.1178,0,2090.09162983144,779.572644042969,0.0485165654917237,774,55,168,997
3,"武汉大学","WHU","whu","湖北省","武汉市","武汉市","武昌区",27,420106,114.36434,30.53727,1893,346.33,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116,657,80,216,953
4,"江南大学","JNDX","jndx","江苏省","无锡市","无锡市","滨湖区",510,320211,120.272597,31.482903,1958,216.67,146,993,19.2458432304038,1191.61326707683,16.4109717621076,941.1786,3,9409.05753348856,1483.85151367187,0.275285611324146,302,22,339,663
5,"浙江大学","ZJU","zju","浙江省","杭州市","杭州市","西湖区",571,330106,120.085686,30.302415,2002,390.4,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.597937011719,0.068171099498241,516,67,223,806
6,"华中农业大学","HZAU","hzau","湖北省","武汉市","武汉市","洪山区",27,420111,114.333112,30.487087,1898,495,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116,495,52,221,768
7,"贵州大学","GuiZU","guizu","贵州省","贵阳市","贵阳市","花溪区",851,520111,106.672804,26.44434,2004,309.17,269,2941,1191.7699635004,1210.48323193916,14.8991539923955,83.0826,4,1571.27873237857,540.074884033203,0.0329072404894244,533,70,112,715
8,"四川大学","SCU","scu","四川省","成都市","成都市","武侯区",28,510107,104.084176,30.631245,1896,470,135,1425,829.990590248075,1232.12792694064,15.3816407914764,133.1892,1,4073.8870316201,1172.70375976562,0.0911539231637021,395,48,168,611
9,"西南大学","SWU","swu","重庆市","重庆市","重庆市","北碚区",23,500109,106.4247,29.820475,1906,556.47,293,1649,546.767114236496,1310.7526596682,17.2196145809733,1092.1662,22,1734.96189151623,593.008715820313,0.0284259542812367,397,42,125,564
10,"华侨大学","HQU","hqu","福建省","厦门市","厦门市","集美区",592,350211,118.087873,24.60393,2006,132,52,3658,155.584810126582,1597.22199501247,20.813940149626,46.305,0,12426.2479487042,2424.10014648437,0.252649158042462,393,49,222,664
11,"广州大学","GZU","gzu","广东省","广州市","广州市","番禺区",20,440113,113.372656,23.040937,2004,131.71,116,3945,109.559038441173,2227.78538562664,22.1747261174409,417.8835,4,11409.5275366756,1912.40695800781,0.243187464399995,243,54,235,532
12,"扬州大学","YZU","yzu","江苏省","扬州市","扬州市","邗江区",32,225009,119.3899,32.3991,1952,400,136,966,6.7443578169881,1071.1424262367,15.5050400350993,923.9751,2,4047.60539845694,710.155578613281,0.0696499180124152,317,64,125,506
13,"曲阜师范大学","QFNU","qfnu","山东省","济宁市","济宁市","曲阜市",537,370881,116.967594,35.594135,1956,131.4,192,908,68.4607430774623,715.230106721588,14.2792766647944,872.9703,4,1911.5691639616,738.155297851563,0.0589908653741508,409,70,222,701
14,"北京大学","PKU","pku","北京市","北京市","北京市","海淀区",10,110108,116.310454,39.992734,1898,195,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.193913757307642,341,42,99,482
15,"安徽大学","AHDX","ahdx","安徽省","合肥市","合肥市","蜀山区",551,340104,117.18488,31.76754,2004,133.33,56,986,40.2855418223627,1170.22758112094,16.2492133726647,1133.8839,5,2179.25264366699,656.685693359375,0.0635516702982292,316,50,117,483
16,"广西大学","GXDX","gxdx","广西壮族自治区","南宁市","南宁市","西乡塘区",771,450107,108.292834,22.842456,1928,265.5,46,3982,196.447556416077,1771.42817484389,21.6182247992864,365.2794,2,772.263852484061,309.155639648438,0.0213801929179356,242,47,168,457
17,"山东大学","SDDX","sddx","山东省","济南市","济南市","历城区",531,370112,117.060678,36.675572,1958,106.67,191,783,126.096485571498,672.962508614748,13.5010940730531,128.4255,5,3878.08138450155,860.840649414062,0.149603140440767,279,51,169,499
18,"湖南科技大学","HNKJDX","hnkjdx","湖南省","湘潭市","湘潭市","湘潭县",732,430321,112.918821,27.9041,2003,200.31,207,2519,111.020978029766,1749.18462934947,18.0212254160363,109.35,1,1597.3945864929,561.690002441406,0.0265500430863705,306,42,64,412
19,"三峡大学","SXDX","sxdx","湖北省","宜昌市","宜昌市","西陵区",717,420502,111.314266,30.722403,2000,200,98,1231,661.813440842735,1500.03363456258,14.603675576101,426.9042,8,605.176697264376,197.623818969727,0.00614234773427689,247,18,138,403
20,"温州大学","WZU","wzu","浙江省","温州市","温州市","瓯海区",577,330304,120.700716,27.921456,2001,77.73,204,2175,358.971678943358,1956.84429118268,17.2632787750792,208.7649,0,2160.65292112774,847.419848632813,0.0598200019937301,291,45,90,426
21,"清华大学","QHU","qhu","北京市","北京市","北京市","海淀区",10,110108,116.329683,40.000119,1911,482.84,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.193913757307642,316,39,59,414
22,"沈阳农业大学","SYAU","syau","辽宁省","沈阳市","沈阳市","沈河区",24,210103,123.567348,41.823548,1952,683.07,182,209,61.6446806535462,637.906704021421,8.54197203352014,200.1069,3,2121.54853460449,632.848547363281,0.0657449506228449,308,37,43,388
23,"山西农业大学","SXNYDX","sxnydx","山西省","太原市","太原市","小店区",351,140105,112.580313,37.776027,1950,239.2,86,712,1251.62529832936,539.166804002354,8.20790661173243,39.5109,0,1904.36619076234,612.819860839844,0.0808312972471451,252,28,86,366
